Protein.Ids,AC1R1,AC1R2,AC1R3,AC2R1,AC2R2,AC2R3,AHFD1R1,AHFD1R2,AHFD1R3,AHFD2R1,AHFD2R2,AHFD2R3,AHFD3IPR1,AHFD3IPR2,AHFD3IPR3,AHFD4IPR1,AHFD4IPR2,AHFD4IPR3,AHFD5PioR1,AHFD5PioR2,AHFD5PioR3,AHFD6PioR1,AHFD6PioR2,AHFD6PioR3,AHFD7CrR1,AHFD7CrR2,AHFD7CrR3,AHFD8CrR1,AHFD8CrR2,AHFD8CrR3
P16086,32.80654944349078,31.823755217430698,32.56000319872891,32.00252332445066,31.73743033932063,31.86111915168642,31.696697219794377,31.805260146186814,31.92120900323874,31.58342217959275,32.54885103158764,32.182567623854375,31.6320327101395,31.933310404580773,31.600182094206932,31.87626687073205,31.954055276890966,31.81979019156322,31.619689688267137,31.692594833206723,31.886848590319815,31.858812414415382,31.575245894229692,31.731494012659134,31.788362048228223,32.18376344334311,32.72189777926756,31.9677715690536,31.763075909017964,31.987380010662793
P11442,31.30144349884938,30.801861794713798,31.136963093031586,31.16286477899117,31.404665260056483,30.783272536678503,31.222768592019314,30.838664172394797,31.563577435898654,31.298037726462198,31.20585656235854,31.112957897429734,31.292943524027198,31.42498873044784,31.37728331738071,31.474086745072306,31.47582256907601,31.376225146473146,31.38433926466303,30.99625607678482,31.48982252931313,31.550916910887775,31.11621173677569,31.29065492242823,31.467003372740642,31.89153864034806,31.47072621550609,31.560857757553045,31.395735469207942,31.703176722317494
P06687,29.922207873104476,29.419377099827773,29.515935637212802,29.758622821688945,30.068232855142583,29.5331828403295,31.223260870802534,29.7775129517919,30.65777707221754,30.524770516481134,30.194569397321615,29.89737925682219,30.2070640989477,30.64156753224721,30.57581463543704,30.6048345199287,30.55468700281989,30.12578335127924,30.55682718020018,30.09995051349066,31.092170961517056,30.434901899485034,30.436473629846244,30.621549485598944,30.579408153725367,30.855948867606774,29.97828324605188,30.551891074412833,30.4047321261235,30.651952962337567
P13233,31.0729057682773,30.547492204708863,30.51175144590165,31.359822823594868,31.539928365663215,29.793020549667478,32.286637347224435,30.43096213903485,31.669729579131918,31.892059706955948,31.592519983515245,30.70325085728648,31.83774820414269,31.592958538302383,32.0594512413893,32.06568905359598,32.39306619486499,31.748011164307716,31.74482366387024,31.401491673616704,32.51298177397796,32.43754042223551,32.36185879657004,31.846025985715716,31.434213669077753,32.57558800908629,31.448267066209034,31.996266991515576,31.656736917686935,32.29356921160537
P23565,30.793660120083114,30.12417254507705,30.59761616702229,30.725544078986246,30.8963610977986,29.89079125572416,31.02548180210646,30.025357469043676,30.89855245843067,31.202522890461662,31.07641612570409,30.618461856924696,31.21286559760221,30.97549807260807,31.383462953677295,31.452352343662202,31.617007228322432,31.12961818188917,30.675052509491383,31.05473416229858,31.472237279658845,31.59626210354586,31.17671837787846,31.10566554403773,30.937864997584935,31.591492182499145,31.04243152058225,31.067573286677504,31.133713158192247,31.579144660014993
P06686,30.977191396835835,30.600062722050115,30.54365780821051,30.85653944617804,31.027258562117517,30.757583077316532,32.06397965041325,30.934684950724368,31.480947701690894,31.236643348339484,31.075180729588688,31.053898457047687,31.172872456985914,31.36616973501396,31.373341981609073,31.40866428305552,31.499336525821477,31.234383850239258,31.41438217257646,31.110605939255542,31.80996446799609,31.371528398912382,31.30358322918166,31.75120088230887,31.611004687739744,31.692470561071794,31.225255432029233,31.4914139901968,31.332551197615416,31.54279088333602
P47942,30.056057214311807,30.055162807349053,29.84146049044986,30.604523806684096,31.098989723707312,30.095703544233082,31.144191520957026,30.23995762583498,31.379111947254025,30.922955919348453,30.478060200267908,30.292378656258524,30.98684318276614,31.23237732430467,30.6143022130762,31.136770778325428,31.38718342170298,31.045226813399843,31.16939703285668,31.232056333431117,31.33068975437217,31.439942932699854,30.92816268160495,30.553526642425044,31.240333536274086,31.583518907740306,30.41844303417083,31.391594431454287,30.645198825627286,31.252972869890506
P69897,29.690030551171155,28.585817209972372,29.12288165270537,29.465915374996747,30.151158176026264,28.628971052946575,29.347494892816968,28.68964587664026,30.13236239988696,30.02714922314935,29.157394782040424,29.433783898650077,30.142937830311876,30.27211540565692,29.205152477132533,30.155415339849327,30.30720167054695,30.347515447125122,29.612604973839137,29.269422171385735,30.031156864639676,30.12228884214403,29.86930553033092,29.214375327921235,30.04946743245042,30.619032078960824,29.531281081906688,29.84718461025393,29.59782683461796,30.660470907896467
P06685,28.95002255420831,29.348562162432174,28.893827098779056,29.79994683118205,30.068845403497274,29.35682352296442,29.313851702173654,29.44140291489089,30.267961551620868,29.828339058155297,29.12506294654637,29.7012276965059,29.900385698344117,29.682627475186017,29.70188940760139,30.13049006424102,30.17889396391494,30.04485199423846,29.786187588715006,29.84756865586421,30.05229490275357,30.232448437275774,29.61332773587339,29.661078809293013,30.278173083116595,30.57165014905071,29.860092895594306,30.241235671624086,29.696557759061577,30.189219443623063
Q3KRE8,26.602763998852204,25.368677366233776,25.82522094037386,25.577293836724806,25.571980494160467,25.681419873274358,26.15377133610327,25.846050145035708,26.38870157086397,26.230938744963037,27.045935927462057,26.244002132244017,25.88607628207553,26.2915863087543,26.17272369138187,26.524561830677655,26.627456834187722,26.29860057446743,25.932205511699994,26.035397779916842,26.410048706302536,26.299272049110115,26.283437149092432,26.009103111908775,26.146699821154858,26.09930960184272,26.45777049853322,26.28561937044164,26.141222650559623,26.664764406045524
P07323,30.424103246208073,30.221344483107156,30.17535259115822,30.55741694070304,30.78145638705924,30.389720249780485,30.875255677992705,30.517647762033235,31.19768365652671,30.959196442949292,30.513315208583737,30.649834759352352,31.004442698847264,31.238312716275658,30.807090369051544,31.174087196040798,31.24576175959922,30.999160933762134,31.008437252161325,31.440399602383515,31.09866476896212,31.148948246055266,30.776658959461535,30.979567603635946,31.197144697880432,31.416562516693432,30.74482618445173,31.086231257896294,30.82297922981078,31.11981031031742
P85108,31.32911955861626,30.211364768621724,30.766165859730226,31.149588062939582,31.870778579163073,30.644528940033194,31.517779166616965,30.610281782770272,31.962046278684213,32.02076471436958,31.453283424893325,31.195694037969915,31.764920468069377,32.09963353315139,31.43402636656681,32.001897283438176,32.075607124359266,31.897370632748714,31.587600078967792,31.199582653130225,31.86787067707063,31.84687341466012,31.62833077703563,31.244072512983205,31.65417449565284,32.18432268800436,31.136781237944966,31.639578474481972,31.237111608511043,32.35042666577744
Q5XIF6,30.95744893592221,29.830642892352913,30.518232954468274,30.754825122369027,31.322084210141046,29.93557310566684,30.53791503264576,29.731865755361913,31.269715681914864,31.26730958296282,30.269418833873917,30.58224808572363,31.16419640234261,31.411377324909843,30.590268595249686,31.292493195318425,31.376784201613898,31.424208039693607,30.76454129424945,30.520385964929677,31.218503867322664,31.276395972357705,30.972554712908014,30.337076931190172,31.251271509839334,31.689280360736944,30.467538288845265,30.99980659489724,30.66659850086705,31.577499975323963
Q6P9T8,26.62667544396071,24.947498523157936,26.028833812749426,26.7991564822129,28.013721668584868,25.711140187557334,27.457172427891084,25.478829527490454,28.02132833798741,27.9244493211291,26.61625484749515,26.59662728120629,27.824468459270868,28.065909023531283,26.728526267657962,27.973810300180823,28.035390358050183,27.91647833094872,27.337431060398412,27.33838460688175,28.05606586557671,27.92160820521003,27.849676158917983,26.841865744567514,27.75344488575604,28.27137035856092,26.263238134010116,27.63495270327166,26.683255679095076,28.281708193999748
Q6AYZ1,32.98889792969063,31.72121165599413,32.46428576245267,32.736049459882956,33.296872030937266,32.17487293698384,32.86383070351058,31.87591980290957,33.40174876131456,33.3499117696319,32.682204418647835,32.71070406829932,33.20053773398861,33.472979800488616,32.89067440407641,33.38586199492909,33.43000204938212,33.29914027974035,33.04342885380756,32.317783157815214,33.264166616321575,33.27331932679155,32.929123410511096,32.59778990858342,33.09570856580065,33.66522877897385,32.72094581310106,33.04029401036559,32.829408902168275,33.6608951452187
P10719,29.732485665638276,29.375971475778506,29.50430811114301,30.109184023178326,30.451618410105954,29.823358084835878,30.725768987841047,29.870369089975654,30.820094433163632,30.37609631136261,29.790779474306177,29.95080158835109,30.438495183167284,30.8354240273733,30.247737917339258,30.7327603016233,30.61987338408579,30.466070035711308,30.59392864814561,30.080432751429353,30.800731733311476,30.62859192932908,30.308641907128525,30.591870389334368,30.840319853438473,31.012954780926286,30.102830652916833,30.747610574177834,30.4296952177455,30.839227682879432
Q68FR8,29.733738857894707,28.70665124654075,29.23778712322504,29.50238569827489,29.859830445657675,29.224973935148572,28.937746588100644,28.842876783496884,29.96273295625859,29.76974401958542,29.566867742303803,29.542990363310768,29.779562945392975,30.08887446802785,29.624586144108278,29.999823830692186,29.917601921760323,29.78197407365378,29.616135213974975,28.35926807481071,29.63009777939676,29.90519304680681,29.3393584367238,29.150361464980712,29.41403462248561,30.261888989623014,29.8835849264278,29.454224708283434,29.685808604472154,30.23417312336473
P38650,31.84540023008334,31.435305877345943,31.592750708463406,31.47183221247494,31.265038789226242,31.39723648324754,31.376496261825842,31.432150970707827,31.43457347792785,31.29643033187724,31.689116099766675,31.541475812159273,31.319262321452573,31.461672902630433,31.53297140898624,31.581566909817575,31.779436428317485,31.54015690807604,31.406349772726195,31.313247873739748,31.571285852633277,31.534608726657726,31.400234424434586,31.595353754558264,31.311623713538683,31.802720194988122,31.90495216703235,31.65492976568838,31.67274131579311,31.74684698514697
P15999,30.77541095803338,30.219280024746006,30.515922276195163,30.82421443557002,31.19163638023908,30.527737092639715,31.52164722311613,30.662902918321194,31.631021684401574,31.20660804963344,30.67913738381604,30.895579149863575,31.198813873824108,31.597786195872832,31.00350873940612,31.564355924768748,31.48040180210904,31.346734424282545,31.349570676178683,30.53414775404819,31.587594313392103,31.39397174244374,31.23932528960622,31.40995332219916,31.58652299977577,31.76330355214236,31.002399390982884,31.58606737000681,31.23873097655321,31.755486211304852
P63018,30.234212526945296,30.063840664182923,30.009284360239512,30.395469229671416,30.59581671835381,30.09669602037636,30.86149134703963,30.275445572857766,30.897494830373507,30.54495370559052,30.24811961120628,30.297514799880915,30.608554790286718,30.990557069560754,30.5505890585811,30.76836582635385,30.830819148579483,30.67140629730065,30.7858394334449,30.94348508014627,30.983231814403897,30.917807874121884,30.490627161448177,30.748994672617712,30.96467055735718,31.19362543226375,30.534034161442698,30.934333509994527,30.722375997070806,30.98712234343112
Q9ER34,30.58756956886616,29.88975088325918,30.368407072803947,30.238931412673768,30.404961723633484,30.046232049482537,30.621299139466817,30.002072653082724,30.7619989063659,30.440817378208386,30.273567599024258,30.284963586532893,30.342471292783426,30.724944503124167,30.370040377483583,30.720379332867427,30.66233574479581,30.608110201265912,30.50599316721557,30.18884665922227,30.759804972759266,30.67902384286103,30.251618273056458,30.507462642529802,30.67489458577906,30.84376209556773,30.3908113494253,30.6267591966772,30.37750848031657,30.717684064223082
Q4QRB4,27.88526604238795,26.773209660886234,27.103949802534036,27.651530661421173,28.502496988365284,26.8455559143097,28.358451656830308,26.732760194898397,28.62039715822289,28.45608064465479,27.443650890153073,27.498196324405935,28.509122307697716,28.541655330260355,27.97262374249782,28.690161821812534,28.743980413674375,28.74208726638778,28.2246443176408,27.59626192661424,28.812001619226756,28.636201881433518,28.273411705370965,27.768294650584572,28.41196578467127,28.946821777794316,27.461215816975283,28.2571596893857,27.856466627626574,28.801390970250203
P21575,29.949542743978952,29.607322221769213,29.625849945371073,30.067206074915934,30.419206049895134,29.980637016255617,30.238410946241054,29.856402202802933,30.561376434766657,30.306026172128497,30.28382676124573,30.101261366926458,30.255997988086524,30.572146807449286,30.183500122756133,30.387297529908682,30.50689039158331,30.34497830430253,30.151632195946277,30.408606300325804,30.405944865336185,30.459181392840392,29.969359708268744,30.317419140329967,30.6863163240923,30.71280099407961,30.086189833254444,30.452259256912708,30.22909463906713,30.537249180562142
P07335,30.56264500125779,30.789079106042823,30.354033777182153,31.080541061141894,31.36879135678659,30.623156575317086,31.121057835882645,30.961441911666313,31.53091780350048,30.97315512442435,30.663166545331553,31.018696699309128,31.220572927139454,31.40168493524146,30.944994726710693,31.520214652721222,31.421937196945596,31.39528571577928,31.093079331761082,31.653037371237524,31.46552468251035,31.56709868286726,31.024041925639594,31.328598008611277,31.68952937622264,31.83490762499666,31.075873493029416,31.491276271876426,31.15552588369968,31.495186438995873
P04764,28.734166744738264,28.620450148599108,28.30514102397537,29.383788597132614,29.571555602621753,28.60476627113377,29.856537637106648,28.861577506825384,29.858571063208267,29.765947886250423,29.22578024727992,29.041739559770605,29.673079774977893,30.199952116223784,29.415038294026576,29.86141399173869,30.16978113944117,29.770337011090493,29.874721698589422,30.035552367299186,30.003483615654552,30.076506695005644,29.733187023311935,29.88806793822354,29.979720744888787,30.242199523344333,29.14574462119984,30.08677280589628,29.49120665935438,29.996941636672503
P11980,30.67804589654885,30.295926711802483,30.285382695211045,30.768581953612095,30.97224927669002,30.646299258272887,31.30203241711673,30.677903480401664,31.477514899693706,31.167067439911577,31.197005659761157,30.88633146829012,31.066637786360168,31.337900741025077,31.082809034636167,31.424024735755705,31.435227807525308,31.210680789919937,31.147855995625594,31.126337943660783,31.456818652520532,31.45427086582886,30.928964212482907,31.09551607617156,31.349279196772446,31.523871728688047,30.994887853441686,31.509101230799264,31.051634394537583,31.425496528473325
P12839,29.36304525138163,28.72516429973579,29.239471031411213,29.52338262378911,29.808592889953168,29.308418467762834,30.39148906099128,29.269410729520903,30.01544068546687,30.1872743959785,30.04664533823065,29.6056013052281,30.16532814577363,30.065633937281813,30.292518586602878,30.363816556689002,30.71170947634294,30.181534236384607,29.712416469090254,30.28516044868736,30.426002043195275,30.448900883031747,30.09613409234078,30.220745524324133,30.230237368456613,30.475054604635048,29.86280773242839,30.279044732408437,29.910779959397587,30.606475443207152
P02770,27.74936747533499,27.643282298203907,27.46138355425753,28.155645715849698,28.52796999328436,27.917606082555775,29.212805759136803,28.106774460322896,29.16463545079005,28.763116530306775,28.893627312494065,28.490028702763492,28.84230650927863,28.749121786919577,29.057444525085536,29.254318130219318,29.321453063758227,29.11121023320548,27.783518003791748,29.341860759783437,28.340040310633213,28.885443090837317,28.013835508499078,27.766312398381068,29.199950837569602,28.96579528067493,28.14640243063041,29.010666283285897,28.154295108860435,29.258470088247396
P63102,29.70271614771367,29.946915355660664,29.748221054805956,30.437462943239503,31.074448840086983,30.33678980377555,30.66400433510917,30.396709748546595,31.399212086251364,31.106019665267187,30.31167170518672,30.532196889309883,31.096779602465162,31.34131573803865,30.808294072388293,31.333742680381235,31.256187715147025,31.09779392813921,31.14532479166376,31.172232623493702,31.099152792693037,31.39380343779346,30.761930165795913,30.430910768724438,31.407451204836306,31.513495502633006,30.593415898617874,31.388716195532243,30.66684130449401,31.349723161479808
P61765,29.04667044809744,29.50802797051966,28.948842239871308,29.447626063321103,30.019040931935148,30.07122934408961,30.018186946370896,29.34096475328869,30.222878736238126,29.84124286241269,29.31722519198886,29.3921528169384,29.806890105869055,29.703220395400503,29.612554632758208,30.059756018380934,30.289757718317507,30.01395822227163,29.935484136714276,29.863831553495313,30.102586026814112,30.19474725263705,29.58414875391759,30.10739181859903,30.353327404329008,30.675249437676676,29.406277961669012,30.16715222007924,29.67965793231719,30.356757660290786
P04636,29.393082476426272,29.247612962355504,29.037226892130676,29.76177579805488,30.175103138114892,29.497567677433228,30.512951213178077,29.71048677838365,30.564124044404895,30.218338197228203,29.658087642638037,29.780774339987225,30.179370577489877,30.53435144234643,30.08311538324017,30.435757411168343,30.311246400209797,30.252249145033325,30.39732167464521,29.994970342485864,30.567439745420753,30.409749651789518,30.05074482583403,30.38985385655617,30.56415884220783,30.63673917172742,29.843652351989057,30.40825930310399,30.02995395093511,30.514181381301658
