protein_id,mean_intensity,mean_treatment,mean_control,log2FoldChange,pvalue,padj,-log10(pvalue),s0_corrected_-log10(pvalue),regulation
Q62745,24.116722536965156,24.53848937507118,23.654830502815397,0.8836588722557828,0.00012130198374387454,0.13306827616703037,3.91613209672639,1.8098005423637102,upregulated
Q9Z2A6,28.801865799329164,28.974245824275346,28.715816520375615,0.2584293038997316,0.10588714498659094,0.6177119975122715,0.975156761330311,,non significant
P03889,24.669532969678066,24.813921719963503,24.50908774576202,0.3048339742014825,0.06960086301850033,0.6177119975122715,1.157385375305404,5.197438188444044,non significant
P11442,31.319050766662908,31.403558338746205,31.206977064427207,0.19658127431899786,0.10003826565117263,0.6177119975122715,0.9998338461763872,,non significant
P34058,28.305530723769742,28.569084046545218,28.16890417250214,0.4001798740430793,0.10101147179860576,0.6177119975122715,0.9956293009112945,3.0861995617020934,non significant
P62944,29.236456984688495,29.33165998575822,29.102615691977846,0.2290442937803725,0.057646829221901195,0.6177119975122715,1.2392245754343696,,non significant
Q5FVM4,29.02361705367467,29.23603387111757,28.817010659343982,0.41902321177358814,0.057775289803201034,0.6177119975122715,1.2382578674046232,2.924813011642728,non significant
P21588,27.395697431258036,27.490730680429838,27.28484838931755,0.20588229111228884,0.04560383083096964,0.6177119975122715,1.3409986740269795,,non significant
P34926,29.75085560496704,29.895439845490085,29.600166543297338,0.29527330219274717,0.011113693868494147,0.6177119975122715,1.9541415702152798,5.893149258494418,non significant
P60522,25.424834282819933,25.499739377022916,25.161847089891808,0.3378922871311083,0.02478726392653256,0.6177119975122715,1.6057714089799826,4.003001736369236,non significant
P63259,30.01170101518602,30.332806440897812,29.84782340763243,0.48498303326538306,0.09594223317399617,0.6177119975122715,1.0179901770119155,2.537699600190457,non significant
P16884,31.437588367521908,31.613341368486804,31.32004609959807,0.29329526888873403,0.08925865059662907,0.6177119975122715,1.0493496830664917,6.087952529092183,non significant
P15429,27.612959208078262,27.885687323233384,27.49323296037149,0.39245436286189417,0.09072095226551406,0.6177119975122715,1.0422923997927962,3.1625240081525496,non significant
P05197,29.12418396625555,29.24882897864595,29.03831455567656,0.21051442296938916,0.06642698237892826,0.6177119975122715,1.1776554760839173,,non significant
P00564,29.21466602098781,29.409669262619158,29.114756192326258,0.2949130702928997,0.08521076905925061,0.6177119975122715,1.069505515004943,5.926843399449579,non significant
P38718,26.72337262620407,27.090712949700485,26.772172375468404,0.31854057423208104,0.05076366792800373,0.6177119975122715,1.2944470055028456,4.567903706011239,non significant
P18298,26.83650521016512,27.096202577656232,26.742668543368996,0.35353403428723595,0.10795097816314037,0.6177119975122715,0.9667734180918661,3.685914256786253,non significant
P70627,27.9345307339834,27.994085777656412,27.707447625366346,0.28663815229006673,0.03955196098941029,0.6177119975122715,1.40283197927712,7.0097684251579135,non significant
P24135,30.59673120743953,30.822021505012618,30.516538257671822,0.30548324734079557,0.004582778585953105,0.6177119975122715,2.3388711249113716,5.160269355362261,non significant
P04182,28.470326187838157,28.673383908712168,28.30774475128194,0.3656391574302269,0.006897239948903313,0.6177119975122715,2.1613246650257074,3.491636810760003,non significant
Q3SWU3,27.36969472476322,27.695644081915674,27.077770070464013,0.6178740114516614,0.027233416641203653,0.6177119975122715,1.5648978696648588,2.138406191637105,non significant
P04166,27.706835791194134,28.073011698450845,27.421331582974158,0.6516801154766867,0.06461853095655502,0.6177119975122715,1.1896429194956253,2.074892443852462,non significant
P62260,28.914844587130045,29.129575682581585,28.80917482241502,0.3204008601665649,0.05928592350100018,0.6177119975122715,1.227048410708942,4.501236391378838,non significant
Q9ESV6,25.795092143582306,25.96906954858383,25.5654846080531,0.40358494053072747,0.02150667247657322,0.6177119975122715,1.6674267786805121,3.0546011581574586,non significant
P60892,26.68970517237896,26.8623371537244,26.502559701880738,0.3597774518436623,0.07293344182256323,0.6177119975122715,1.1370732910403691,3.581196232700662,non significant
Q75Q41,26.45891607726769,26.607390833885518,26.12328936075915,0.4841014731263691,0.02926024952952095,0.6177119975122715,1.5337219745595823,2.5416342593319756,non significant
P16446,29.30766753802459,29.37844109786556,28.6010599883584,0.7773811095071608,0.052758290748626716,0.6177119975122715,1.2777092830738188,1.904574153755138,non significant
P19627,25.024743193919697,25.15798584934892,24.88651703015229,0.27146881919662746,0.035024938433379574,0.6177119975122715,1.4556226194416744,,non significant
P52296,25.99586193669945,26.161105702712522,25.849560572450788,0.31154513026173447,0.1034331012537172,0.6177119975122715,0.9853404535893452,4.8534926080906615,non significant
