protein_id,mean_intensity,mean_treatment,mean_control,log2FoldChange,pvalue,padj,-log10(pvalue),s0_corrected_-log10(pvalue),regulation
P16446,29.30766753802459,30.222811193957394,28.6010599883584,1.6217512055989936,1.5516952556527367e-06,0.001702209695451052,5.809193567732367,1.544090989171685,upregulated
P13086,29.5425206890605,30.403732230010473,28.860655715299156,1.5430765147113163,4.938278742979259e-06,0.0022047613553588534,5.3064243997987495,1.5584361928209083,upregulated
Q6DGG1,25.2715291667103,26.149928528440288,24.554753803469833,1.5951747249704553,6.029429413014184e-06,0.0022047613553588534,5.219723784792562,1.5487548144229886,upregulated
Q03626,27.45260001354469,28.045783086538453,26.771856190203362,1.273926896335091,5.931171232988852e-05,0.016266237106471924,4.226859537698465,1.6235215211283873,upregulated
Q499N5,28.008833291377265,28.33042670755744,27.615207790535354,0.7152189170220851,0.00016958248250529686,0.03310143236139579,3.770619011420135,1.9783096923009564,upregulated
Q62745,24.116722536965156,24.64331009460123,23.654830502815397,0.9884795917858327,0.00018104703205868252,0.03310143236139579,3.7422085902675817,1.741519986887609,upregulated
Q91Y81,27.701512423277546,28.230273065494643,27.356124888881386,0.8741481766132573,0.000252383741750519,0.03955213781433133,3.5979386252419143,1.817054982371016,upregulated
P00762,28.76115220087866,30.00361408686842,27.923823824751107,2.0797902621173137,0.00041354073672969884,0.05670677352405995,3.383481702881667,1.4845288973385624,upregulated
Q5XHZ0,27.55852090043415,28.19620151737357,26.99014125938795,1.2060602579856194,0.0005927296246887652,0.0722471553648417,3.227143366134804,1.6454700711166836,upregulated
Q62645,27.17468961127013,27.60553995348873,26.544613544913318,1.060926408575412,0.0020428474401002193,0.18675030348249502,2.6897640652797254,1.7041088552996135,upregulated
P20059,25.04600772738995,25.430284000569326,24.84056119784449,0.589722802724836,0.001904233047632748,0.18675030348249502,2.720279902008609,2.1998305721632536,upregulated
D3ZFD0,31.579578128973555,31.736403704621505,31.354095650401334,0.38230805422017156,0.0017837983789407218,0.18675030348249502,2.748654235084263,3.2739155850883352,non significant
P60881,27.256774995114807,27.566615950694906,26.90179955851684,0.6648163921780679,0.0029989142649848345,0.25306222682218177,2.523035949971125,2.0527346393266175,upregulated
Q6Q629,27.494967825509345,27.81112528626183,27.415855516611444,0.39526976965038685,0.0033390857042016157,0.2616412155363695,2.4763724337805617,3.133926600603915,non significant
Q5XIA3,28.20580560773177,28.575235577321433,27.876244474585913,0.6989911027355191,0.0057584836787566394,0.42113710637306895,2.2396918597439885,2.0006136537009924,upregulated
P70627,27.9345307339834,28.14228717379781,27.707447625366346,0.43483954843146577,0.006367295271534984,0.4365576820546173,2.196045010066277,2.810921811337601,non significant
P08009,28.219477038008723,28.518935344594492,28.00936782819052,0.5095675164039726,0.007087221888171527,0.4573342594896568,2.1495239700464452,2.4372939606968447,non significant
O88767,27.38044717775855,27.75044821434837,27.279912936888497,0.47053527745987367,0.0076883167867012455,0.4577022901510069,2.1141687304537307,2.605550152195013,non significant
Q5XI32,27.629155257396135,27.938707546115428,27.33070914745434,0.6079983986610884,0.008761848763145983,0.4577022901510069,2.0574042473799405,2.1589746806517547,non significant
Q6AXV4,28.394280668311225,28.96132915343232,28.123975251850336,0.8373539015819844,0.00797661321000201,0.4577022901510069,2.09818146659669,1.8471762356289343,upregulated
P51650,28.01892263644305,28.202135217632392,27.84390327167635,0.35823194595604235,0.008496548102460614,0.4577022901510069,2.0707574795257626,3.606165209222484,non significant
P97829,26.1452079465593,26.35819389601502,25.856010754869843,0.5021831411451778,0.010326892094117138,0.5034383842209678,1.9860303609062968,2.4656804966856236,non significant
P19627,25.024743193919697,25.160985152364045,24.88651703015229,0.2744681222117542,0.010555225922590937,0.5034383842209678,1.9765324666780175,,non significant
Q62847,26.85250595030366,27.018091755446644,26.65643548650802,0.36165626893862424,0.012263602553170558,0.5605488333678376,1.9113819328244133,3.5516293855706036,non significant
Q05764,27.745964987268092,27.857147168580124,27.491636857186197,0.3655103113939262,0.01457747384956541,0.6396595525189303,1.8363177289842376,3.4935230588889445,non significant
P04550,23.294927029496538,24.148826539743837,22.487955388828198,1.6608711509156393,0.01653969574382184,0.6780466147382,1.7814724837795188,1.5375364357216492,upregulated
P62909,29.13297525304946,29.278416479159578,29.044409562174362,0.2340069169852157,0.016688476388269282,0.6780466147382,1.7775833113957569,,non significant
P34064,26.967198461658533,27.466054938124657,26.088194061152183,1.3778608769724734,0.01887372541755405,0.7139474752778205,1.7241423675299574,1.5948405953333769,upregulated
Q9Z2L9,28.020331205453314,27.63208860553371,28.14794502724799,-0.5158564217142789,0.018336579639820015,0.7139474752778205,1.7366816709607145,2.414195393824669,non significant
P52287,26.530479989386993,26.772683263483117,26.41762406565621,0.35505919782690754,0.021416844382043998,0.7164606877778008,1.6692445189581588,3.659362037220601,non significant
P08081,27.56811050323968,27.753625665600495,27.3244733224204,0.4291523431800961,0.026777473289781067,0.7164606877778008,1.5722304052207947,2.8499311174682713,non significant
