protein_id,mean_intensity,mean_treatment,mean_control,log2FoldChange,pvalue,padj,-log10(pvalue),s0_corrected_-log10(pvalue),regulation
Q78P75,26.52478805394427,26.7128843542318,25.762884373330706,0.9499999809010937,6.818236773195705e-05,0.052642040831173784,4.16632792133727,1.7643522074836968,upregulated
D3ZW55,23.77343728438548,24.03157668301948,23.279148682787067,0.7524280002324133,9.597455028472886e-05,0.052642040831173784,4.0178439142125715,1.932161097410788,upregulated
Q6QLM7,28.624307530180086,28.64134441734397,27.895979422564395,0.7453649947795746,0.0005923212087871026,0.05414803050328763,3.2274427166342523,1.9404322715368307,upregulated
Q6RUV5,28.296164623840063,28.52660129663924,27.564353755531965,0.9622475411072742,0.0005129077046731122,0.05414803050328763,3.289960777105263,1.7568330630292002,upregulated
P08932,23.36834112825749,23.462958165654083,22.16524333975023,1.297714825903853,0.00039707622787000477,0.05414803050328763,3.401126112467508,1.6164747496616931,upregulated
P97576,26.14548007375569,26.235187600881087,25.52329158215672,0.7118960187243673,0.00035215377795181534,0.05414803050328763,3.453267648078621,1.982760485578563,upregulated
P63159,27.080873673385454,27.125125970962824,26.666775865883505,0.45835010507931884,0.0005771433680382192,0.05414803050328763,3.238716290459947,2.6689440895254775,upregulated
Q6LED0,28.225874149634784,28.319980130658916,27.601923613302343,0.7180565173565725,0.0004975471285313847,0.05414803050328763,3.303165775839414,1.97455456547068,upregulated
P55068,27.806318653179922,27.84496150588791,27.36663875436636,0.47832275152154935,0.0002505009788572034,0.05414803050328763,3.601190572745033,2.568067659135016,upregulated
Q6XVN8,26.44902813794571,26.54229068516113,25.87589418329993,0.6663965018612004,0.0004643530766975966,0.05414803050328763,3.3331516725702133,2.0501544363939597,upregulated
P28570,23.246502427257738,23.502451421149985,21.87017396577569,1.6322774553742931,0.00032895886162208565,0.05414803050328763,3.482858409915116,1.5422918987953924,upregulated
Q6PDU1,26.914148896520608,27.180042141896205,26.23622713715828,0.9438150047379246,0.0005043415255507526,0.05414803050328763,3.2972752722233944,1.7682441529946764,upregulated
Q3B8Q0,26.362347473434344,26.501477095314545,26.027841008744048,0.4736360865704974,0.0008054294508179408,0.05917575992403216,3.0939724943041087,2.5903590349998815,upregulated
P0C5X8,26.498133216386897,26.702573920820583,26.131395387793063,0.5711785330275205,0.0007086474628561359,0.05917575992403216,3.1495697634250694,2.24547003000196,upregulated
Q9WU34,29.23469756616308,29.292667338446638,28.775497772655257,0.5171695657913808,0.0008091489506476594,0.05917575992403216,3.0919715247536557,2.409491174573711,upregulated
O35077,27.567736693234338,27.625451328982777,27.109358916873088,0.516092412109689,0.0009226167435058989,0.0632569104766232,3.0349786681471786,2.413347018821553,upregulated
P35434,24.859896172567314,24.93876594344482,23.815518426109236,1.1232475173355851,0.0010901118256655738,0.06517137207320221,2.9625289490516225,1.6766549778199342,upregulated
P32551,28.22376605996147,28.258922525578402,27.91631438310866,0.3426081424697429,0.0010997601936821133,0.06517137207320221,2.958702003854964,3.8976993088516223,non significant
P62703,26.940728646950802,27.05592216938256,26.572568393129412,0.48335377625314635,0.001128765787958835,0.06517137207320221,2.9473961621929887,2.5449913626721945,upregulated
P68182,27.656758648551353,27.715271955601626,27.260688063575742,0.4545838920258838,0.001220936173734816,0.06696834912935465,2.913307038855522,2.6898270114239673,upregulated
Q8VD52,27.789909209097953,28.117594978473875,27.114574644155564,1.003020334318311,0.0014858580201406453,0.07761839276639466,2.828022687221036,1.7334658161411205,upregulated
Q68FU3,26.871973411490146,26.687845267457618,27.141174339828535,-0.45332907237091646,0.002251727567909977,0.09693138080230705,2.647484155077573,2.696929873688469,non significant
