"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006753","nucleoside phosphate metabolic process",91,0.454667787132483,1.99878934707374,9.03828158469988e-06,0.0077367690365031,0.00739236293822295,221,"tags=43%, list=23%, signal=36%","245965/690660/25368/24189/294292/60666/171375/298942/85428/311422/24534/24533/81654/117287/641434/289950/24551/25650/170851/83782/81743/170587/81829/24212/24333/298410/117243/301458/25045/64524/116643/25275/114096/84509/24642/25289/58942/171374/29384"
"GO:0009117","nucleotide metabolic process",91,0.454667787132483,1.99878934707374,9.03828158469988e-06,0.0077367690365031,0.00739236293822295,221,"tags=43%, list=23%, signal=36%","245965/690660/25368/24189/294292/60666/171375/298942/85428/311422/24534/24533/81654/117287/641434/289950/24551/25650/170851/83782/81743/170587/81829/24212/24333/298410/117243/301458/25045/64524/116643/25275/114096/84509/24642/25289/58942/171374/29384"
"GO:0055086","nucleobase-containing small molecule metabolic process",94,0.446437390470733,1.9705729394979,2.45820407548967e-05,0.0104659546479182,0.0100000575029912,221,"tags=43%, list=23%, signal=36%","245965/690660/25368/24189/294292/60666/171375/298942/85428/311422/24534/24533/81654/117287/641434/289950/24551/25650/170851/83782/81743/170587/81829/24212/24333/298410/117243/301458/29443/25045/64524/116643/25275/114096/84509/24642/25289/58942/171374/29384"
"GO:0006163","purine nucleotide metabolic process",86,0.448103798092132,1.95069313771925,3.05664563315368e-05,0.0104659546479182,0.0100000575029912,293,"tags=53%, list=31%, signal=41%","245965/690660/25368/24189/294292/60666/171375/298942/85428/311422/24534/24533/81654/641434/289950/24551/25650/170851/83782/81743/170587/81829/24212/24333/117243/301458/25045/64524/116643/114096/84509/24642/25289/58942/171374/29384/361596/296488/65262/117596/191575/292072/690441/94271/117273/25014"
"GO:0072521","purine-containing compound metabolic process",88,0.44048542139926,1.93178473722161,3.01636035298032e-05,0.0104659546479182,0.0100000575029912,221,"tags=42%, list=23%, signal=36%","245965/690660/25368/24189/294292/60666/171375/298942/85428/311422/24534/24533/81654/641434/289950/24551/25650/170851/83782/81743/170587/81829/24212/24333/117243/301458/29443/25045/64524/116643/114096/84509/24642/25289/58942/171374/29384"
"GO:0009259","ribonucleotide metabolic process",68,0.469250250014419,1.94604059468238,5.8736268263393e-05,0.0167594152111548,0.016013361558125,293,"tags=54%, list=31%, signal=41%","245965/690660/25368/24189/294292/171375/298942/85428/311422/81654/641434/289950/25650/170851/83782/81743/170587/24212/24333/298410/117243/301458/25045/116643/84509/25289/58942/171374/296488/65262/117596/191575/292072/690441/94271/117273/25014"
"GO:0009150","purine ribonucleotide metabolic process",66,0.468375547273205,1.93581761957467,0.000111513536738059,0.0272730249850796,0.0260589527956307,293,"tags=55%, list=31%, signal=41%","245965/690660/25368/24189/294292/171375/298942/85428/311422/81654/641434/289950/25650/170851/83782/81743/170587/24212/24333/117243/301458/25045/116643/84509/25289/58942/171374/296488/65262/117596/191575/292072/690441/94271/117273/25014"
"GO:0008584","male gonad development",13,-0.720920919513041,-2.05088321059077,0.000218217724985147,0.0322642506758007,0.0308279916073501,138,"tags=46%, list=14%, signal=40%","24629/85274/303533/362361/29578/117282"
"GO:0046546","development of primary male sexual characteristics",13,-0.720920919513041,-2.05088321059077,0.000218217724985147,0.0322642506758007,0.0308279916073501,138,"tags=46%, list=14%, signal=40%","24629/85274/303533/362361/29578/117282"
"GO:0030901","midbrain development",29,0.585379496894769,1.99474745503892,0.000253375279036948,0.0322642506758007,0.0308279916073501,319,"tags=69%, list=33%, signal=47%","363875/171375/24943/24533/29409/29545/29577/497902/24399/29753/25275/84353/64465/24547/29511/295214/94271/117273/25576/294962"
