Protein,log2FC,AveExpr,t,p_value,adj_p_value,B,Description,significant_FDR05,significant_FC1
P16086,-0.326769104349953,31.9264889011494,-2.04376225751118,0.0507855745490135,0.807198042668015,-3.80517484347091,"Spectrin alpha chain, non-erythrocytic 1 OS=Rattus norvegicus OX=10116 GN=Sptan1 PE=1 SV=2",False,False
P11442,0.0261190316777977,31.3110504883928,0.269890929687501,0.789284188443216,0.978633070658885,-5.30030974596617,Clathrin heavy chain 1 OS=Rattus norvegicus OX=10116 GN=Cltc PE=1 SV=3,False,False
P06687,-0.0921435066576848,30.3119437682968,-0.57707482880375,0.568641654994266,0.905645459351161,-5.19743981222537,Sodium/potassium-transporting ATPase subunit alpha-3 OS=Rattus norvegicus OX=10116 GN=Atp1a3 PE=1 SV=2,False,False
P13233,0.348116696812912,31.6174595434348,1.50064504796982,0.144983560499153,0.807198042668015,-4.47409273429664,"2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Rattus norvegicus OX=10116 GN=Cnp PE=1 SV=2",False,False
P23565,0.319196486221745,30.9960247342453,2.335452099976,0.0271502553561071,0.807198042668015,-3.38914281895909,Alpha-internexin OS=Rattus norvegicus OX=10116 GN=Ina PE=1 SV=2,False,False
P06686,-0.135262712215123,31.2694933582213,-1.0690536354369,0.294454801881018,0.807198042668015,-4.88476139847341,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Rattus norvegicus OX=10116 GN=Atp1a2 PE=1 SV=1,False,False
P47942,0.157268769605501,30.8539264259362,0.704940054254992,0.486849114363797,0.873975194057124,-5.13323968611975,Dihydropyrimidinase-related protein 2 OS=Rattus norvegicus OX=10116 GN=Dpysl2 PE=1 SV=1,False,False
P69897,0.439141704112501,29.7088930947877,1.84516221930721,0.0759439335117881,0.807198042668015,-4.06720971367382,Tubulin beta-5 chain OS=Rattus norvegicus OX=10116 GN=Tubb5 PE=1 SV=1,False,False
P06685,0.159420476864579,29.7910880529895,0.893829026693695,0.379265454310283,0.862163467515463,-5.01618759024689,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Rattus norvegicus OX=10116 GN=Atp1a1 PE=1 SV=1,False,False
Q3KRE8,-0.16385586143797,26.1430012122997,-0.938667582731897,0.356174351171756,0.847961286486179,-4.98460961109441,Tubulin beta-2B chain OS=Rattus norvegicus OX=10116 GN=Tubb2b PE=1 SV=1,False,False
