Protein,log2FC,AveExpr,t,p_value,adj_p_value,B,Description,significant_FDR05,significant_FC1
P16086,-0.438060268362797,31.9264889011494,-2.73982769814215,0.0107295026030963,0.0749680730267957,-2.97256135204462,"Spectrin alpha chain, non-erythrocytic 1 OS=Rattus norvegicus OX=10116 GN=Sptan1 PE=1 SV=2",False,False
P11442,-0.123004447556067,31.3110504883928,-1.27101896870181,0.214500001416651,0.423675570440898,-5.48925340155357,Clathrin heavy chain 1 OS=Rattus norvegicus OX=10116 GN=Cltc PE=1 SV=3,False,False
P06687,0.493162302916101,30.3119437682968,3.08856871038169,0.0046004009434869,0.0448849929891565,-2.20661461871494,Sodium/potassium-transporting ATPase subunit alpha-3 OS=Rattus norvegicus OX=10116 GN=Atp1a3 PE=1 SV=2,True,False
P13233,0.378268731435284,31.6174595434348,1.630623017589,0.114513297472444,0.292495049911926,-5.00652365566194,"2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Rattus norvegicus OX=10116 GN=Cnp PE=1 SV=2",False,False
P23565,0.0871405794504234,30.9960247342453,0.637577974869175,0.529087020372214,0.704667651616174,-6.07179502193195,Alpha-internexin OS=Rattus norvegicus OX=10116 GN=Ina PE=1 SV=2,False,False
P06686,0.284418765013736,31.2694933582213,2.24791378011723,0.0328998377670325,0.129565542915259,-3.96214590533185,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Rattus norvegicus OX=10116 GN=Atp1a2 PE=1 SV=1,False,False
P47942,0.241746548694984,30.8539264259362,1.08360245699435,0.288066898042158,0.498364937028206,-5.69889841791379,Dihydropyrimidinase-related protein 2 OS=Rattus norvegicus OX=10116 GN=Dpysl2 PE=1 SV=1,False,False
P69897,0.0316608351912677,29.7088930947877,0.133030810737286,0.895149725117763,0.938812968595898,-6.26477797235872,Tubulin beta-5 chain OS=Rattus norvegicus OX=10116 GN=Tubb5 PE=1 SV=1,False,False
P06685,0.0482356774895223,29.7910880529895,0.270444860725104,0.788862503546936,0.873188280441181,-6.23708498902284,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Rattus norvegicus OX=10116 GN=Atp1a1 PE=1 SV=1,False,False
Q3KRE8,0.353758712648059,26.1430012122997,2.02654841125356,0.0526303296334502,0.173416337317332,-4.36493554444574,Tubulin beta-2B chain OS=Rattus norvegicus OX=10116 GN=Tubb2b PE=1 SV=1,False,False
P07323,0.150293651134056,30.8796255039406,1.00887842967867,0.321936688706132,0.534750665442854,-5.77399227371265,Gamma-enolase OS=Rattus norvegicus OX=10116 GN=Eno2 PE=1 SV=2,False,False
P85108,0.223312296102858,31.5104689356744,1.01847160400851,0.317440619756481,0.530537332093008,-5.76462821683578,Tubulin beta-2A chain OS=Rattus norvegicus OX=10116 GN=Tubb2a PE=1 SV=1,False,False
Q5XIF6,-0.152725877156492,30.8599324591681,-0.627814426839912,0.535368798422713,0.706770304636695,-6.07788376454365,Tubulin alpha-4A chain OS=Rattus norvegicus OX=10116 GN=Tuba4a PE=1 SV=1,False,False
Q6P9T8,0.494090913895203,27.2273164399324,1.1924608861566,0.243394632736118,0.449056877773793,-5.58077831517069,Tubulin beta-4B chain OS=Rattus norvegicus OX=10116 GN=Tubb4b PE=1 SV=1,False,False
Q6AYZ1,-0.0656489242122262,32.9301564422665,-0.272623338350812,0.78720475292244,0.872612842799388,-6.23649470493252,Tubulin alpha-1C chain OS=Rattus norvegicus OX=10116 GN=Tuba1c PE=1 SV=1,False,False
P10719,0.237586245278333,30.3577807441739,1.35998520104528,0.185017007096964,0.390411769913973,-5.37940276529296,"ATP synthase subunit beta, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5f1b PE=1 SV=2",False,False
Q68FR8,-0.0942543699157063,29.567121322928,-0.511213210483024,0.613332594884173,0.767906589895444,-6.14351620855173,Tubulin alpha-3 chain OS=Rattus norvegicus OX=10116 GN=Tuba3a PE=2 SV=1,False,False
P38650,-0.281497185271611,31.5212914423729,-3.00955326755398,0.0055915187278389,0.0500464031590876,-2.38410524342058,Cytoplasmic dynein 1 heavy chain 1 OS=Rattus norvegicus OX=10116 GN=Dync1h1 PE=1 SV=1,False,False
P15999,0.199331876549063,31.1689645744479,1.16863162886279,0.252707124207548,0.462071804531603,-5.60750753080982,"ATP synthase subunit alpha, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5f1a PE=1 SV=2",False,False
P63018,0.0899117815966939,30.6332037833983,0.697441412991806,0.49145401670714,0.678018726234182,-6.0324769518578,Heat shock cognate 71 kDa protein OS=Rattus norvegicus OX=10116 GN=Hspa8 PE=1 SV=1,False,False
Q9ER34,-0.0485159498940639,30.4581727725876,-0.500354212042964,0.620855855835926,0.771138411175069,-6.14895925960237,"Aconitate hydratase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Aco2 PE=1 SV=2",False,False
Q4QRB4,0.249181137813178,28.0714591931535,0.857015356649332,0.39893512174817,0.603417230241995,-5.91118751590023,Tubulin beta-3 chain OS=Rattus norvegicus OX=10116 GN=Tubb3 PE=1 SV=1,False,False
P21575,0.102569361697334,30.2521201010578,0.830903228378639,0.413273112342221,0.614135870356945,-5.93265714193044,Dynamin-1 OS=Rattus norvegicus OX=10116 GN=Dnm1 PE=1 SV=2,False,False
P07335,0.0230400006267573,31.1867282067421,0.122562558039588,0.903355882623191,0.943053636086419,-6.26611587706654,Creatine kinase B-type OS=Rattus norvegicus OX=10116 GN=Ckb PE=1 SV=2,False,False
P04764,0.410677164858999,29.5823459565751,2.2222098973293,0.034785898095997,0.132651857880157,-4.01039530870148,Alpha-enolase OS=Rattus norvegicus OX=10116 GN=Eno1 PE=1 SV=4,False,False
P11980,0.289551459628328,31.0921682536578,2.32913814748048,0.0275321531736261,0.1166016686545,-3.80724937169546,Pyruvate kinase PKM OS=Rattus norvegicus OX=10116 GN=Pkm PE=1 SV=3,False,False
P12839,0.422153722879312,29.9918522488048,3.01020819882633,0.0055825243038156,0.0500464031590876,-2.38264298892844,Neurofilament medium polypeptide OS=Rattus norvegicus OX=10116 GN=Nefm PE=1 SV=4,False,False
P02770,0.722541164073032,28.5791563160812,2.88966300603387,0.0074917041682813,0.0571374339031598,-2.64915145329863,Albumin OS=Rattus norvegicus OX=10116 GN=Alb PE=1 SV=2,False,False
P63102,0.318618567596875,30.8445137258287,1.3374290050621,0.192175343531655,0.400242109701505,-5.40786827604981,14-3-3 protein zeta/delta OS=Rattus norvegicus OX=10116 GN=Ywhaz PE=1 SV=1,False,False
P61765,0.0185923644942179,29.8349390510122,0.0955556306769976,0.924575035032143,0.950691574112824,-6.26906192153721,Syntaxin-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Stxbp1 PE=1 SV=1,False,False
P04636,0.381661792921378,30.1027079691278,2.33415410776936,0.0272283678249137,0.116554633811785,-3.79756521848068,"Malate dehydrogenase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Mdh2 PE=1 SV=2",False,False
P82995,0.356847735619283,29.6564183035267,3.62452052977757,0.0011766099029161,0.019307098861488,-0.953828263264344,Heat shock protein HSP 90-alpha OS=Rattus norvegicus OX=10116 GN=Hsp90aa1 PE=1 SV=3,True,False
P05708,0.282826936771421,29.9647809650466,2.2138475224296,0.035420195743231,0.133658787421321,-4.02601130538831,Hexokinase-1 OS=Rattus norvegicus OX=10116 GN=Hk1 PE=1 SV=4,False,False
P13221,0.288502856127945,29.4141069892196,2.27647015730844,0.0309132326613597,0.124457364209117,-3.90810487927794,"Aspartate aminotransferase, cytoplasmic OS=Rattus norvegicus OX=10116 GN=Got1 PE=1 SV=3",False,False
P48500,0.188539840151041,29.4777840779317,0.897278386327276,0.37745524415199,0.586490716523106,-5.87685425936415,Triosephosphate isomerase OS=Rattus norvegicus OX=10116 GN=Tpi1 PE=1 SV=2,False,False
Q6AY56,-0.110284044405798,24.6835676732702,-0.156505294774579,0.876792252611958,0.927310556229249,-6.26137998410806,Tubulin alpha-8 chain OS=Rattus norvegicus OX=10116 GN=Tuba8 PE=2 SV=1,False,False
Q9QUL6,0.0617705014820302,32.1453741346152,0.390266668056631,0.699383328876991,0.820619875594563,-6.19764301755849,Vesicle-fusing ATPase OS=Rattus norvegicus OX=10116 GN=Nsf PE=1 SV=1,False,False
P34058,0.216411026831736,28.3076094647371,1.22942983821597,0.229454978661518,0.433889807120833,-5.53835478890614,Heat shock protein HSP 90-beta OS=Rattus norvegicus OX=10116 GN=Hsp90ab1 PE=1 SV=4,False,False
P62944,-0.118909657296904,29.2378418922801,-1.56304939783078,0.129618626536497,0.311883186405916,-5.10491038285191,AP-2 complex subunit beta OS=Rattus norvegicus OX=10116 GN=Ap2b1 PE=1 SV=1,False,False
P50398,0.0607539779835982,29.0867697513965,0.639080400713196,0.528123899910953,0.704667651616174,-6.07084999093379,Rab GDP dissociation inhibitor alpha OS=Rattus norvegicus OX=10116 GN=Gdi1 PE=1 SV=1,False,False
P63039,0.0582815194064317,28.8899327401697,0.423619599275569,0.67517918587201,0.8061952131195,-6.18414614661044,"60 kDa heat shock protein, mitochondrial OS=Rattus norvegicus OX=10116 GN=Hspd1 PE=1 SV=1",False,False
Q9QWN8,-0.319248048663034,31.3374775263484,-2.70668667519674,0.0116047943284775,0.0775801991218592,-3.04283617348276,"Spectrin beta chain, non-erythrocytic 2 OS=Rattus norvegicus OX=10116 GN=Sptbn2 PE=1 SV=2",False,False
P34926,-0.123544459914299,29.7499781674893,-1.23282895929306,0.228204004332061,0.433819840560395,-5.53439615038732,Microtubule-associated protein 1A OS=Rattus norvegicus OX=10116 GN=Map1a PE=1 SV=1,False,False
P45592,0.2587820371619,29.1807136328036,1.76907359236357,0.0881110686698471,0.246657765794067,-4.79447663197714,Cofilin-1 OS=Rattus norvegicus OX=10116 GN=Cfl1 PE=1 SV=3,False,False
P63259,0.152026371415424,30.0095235570498,0.64967986035748,0.521356080106973,0.69814126904042,-6.06412166288923,"Actin, cytoplasmic 2 OS=Rattus norvegicus OX=10116 GN=Actg1 PE=1 SV=1",False,False
P13596,0.261365850059782,28.8202104425988,2.2838720976595,0.030416347066692,0.123837984485818,-3.89402290538994,Neural cell adhesion molecule 1 OS=Rattus norvegicus OX=10116 GN=Ncam1 PE=1 SV=1,False,False
P31044,0.0884981429160447,29.305574590501,0.402272027227743,0.690632193386709,0.814765430760137,-6.19291067691862,Phosphatidylethanolamine-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Pebp1 PE=1 SV=3,False,False
P15146,-0.279234933443881,29.2482063367923,-2.29743421050707,0.0295246877065801,0.122042888497047,-3.8681426945033,Microtubule-associated protein 2 OS=Rattus norvegicus OX=10116 GN=Map2 PE=1 SV=3,False,False
P16617,0.117268083681523,29.6363755638307,0.907463965996876,0.372142778029551,0.583257060211294,-5.86793372835192,Phosphoglycerate kinase 1 OS=Rattus norvegicus OX=10116 GN=Pgk1 PE=1 SV=2,False,False
P09951,0.0503370123267253,29.7136983830381,0.299254065455918,0.767024139277784,0.860815692059938,-6.22889836896668,Synapsin-1 OS=Rattus norvegicus OX=10116 GN=Syn1 PE=1 SV=3,False,False
Q05546,0.163041240686031,28.3639035302042,1.16787048236981,0.253008845879262,0.462071804531603,-5.60835330558151,Tenascin-R OS=Rattus norvegicus OX=10116 GN=Tnr PE=1 SV=1,False,False
F1LX07,0.129981918180636,28.3040853900711,0.973692831105993,0.338801540838541,0.548463480909029,-5.80763409334245,"Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial OS=Rattus norvegicus OX=10116 GN=Slc25a12 PE=3 SV=5",False,False
P31596,0.198087687413427,28.829515541846,0.649690442848545,0.52134934674507,0.69814126904042,-6.06411489176679,Excitatory amino acid transporter 2 OS=Rattus norvegicus OX=10116 GN=Slc1a2 PE=1 SV=2,False,False
