Protein.Ids	Description	AC1R1.raw	AC1R2.raw	AC1R3.raw	AC2R1.raw	AC2R2.raw	AC2R3.raw	AHFD1R1.raw	AHFD1R2.raw	AHFD1R3.raw	AHFD2R1.raw	AHFD2R2.raw	AHFD2R3.raw	AHFD3IPR1.raw	AHFD3IPR2.raw	AHFD3IPR3.raw	AHFD4IPR1.raw	AHFD4IPR2.raw	AHFD4IPR3.raw	AHFD5PioR1.raw	AHFD5PioR2.raw	AHFD5PioR3.raw	AHFD6PioR1.raw	AHFD6PioR2.raw	AHFD6PioR3.raw	AHFD7CrR1.raw	AHFD7CrR2.raw	AHFD7CrR3.raw	AHFD8CrR1.raw	AHFD8CrR2.raw	AHFD8CrR3.raw
P16086	Spectrin alpha chain, non-erythrocytic 1 OS=Rattus norvegicus OX=10116 GN=Sptan1 PE=1 SV=2	7511997534.58984	3801061488.66016	6331952112.88965	4302485918.35742	3580292571.55469	3900789905.61914	3480620122.44531	3752643632.8125	4066693184.03125	3217788103.9375	6283194227.14063	4874366633.65625	3328056338.55078	4100948284.76563	3255387404.42188	3941962403.54102	4160342845.60938	3790629196.96094	3299704505.4375	3470736836.8125	3970981766.10938	3894557883.27734	3199603289.61719	3565590837.25	3708945822.64063	4878408568.25	7083905297.49219	4200085553.35156	3644505442.92188	4257560871.57031
P11442	Clathrin heavy chain 1 OS=Rattus norvegicus OX=10116 GN=Cltc PE=1 SV=3	2646509155.375	1871907233.46875	2361347291.0625	2404125025.9375	2842799609.17188	1847942263.91406	2506050936.00391	1920272852.04688	3173829399.0	2640268905.75	2476845206.46387	2322381594.60938	2630962471.9375	2883129974.4375	2789352885.15625	2982937791.875	2986528967.46875	2787307733.6875	2803028495.1875	2141917959.89844	3015651417.0957	3146098972.45313	2327625381.0	2626792185.47656	2968328000.625	3983912016.75	2975997596.98438	3167851930.51563	2825257992.3125	3496287610.71875
P06687	Sodium/potassium-transporting ATPase subunit alpha-3 OS=Rattus norvegicus OX=10116 GN=Atp1a3 PE=1 SV=2	1017377447.5625	717984321.609375	767683094.453125	908318373.03125	1125744946.3125	776915708.15625	2506906200.75	920289770.75	1693988661.53125	1544797422.75	1228771400.77148	1000018301.21875	1239459597.59375	1675062211.8125	1600432445.125	1632951187.1875	1577165599.95313	1171559720.125	1579506995.0	1150768518.89063	2289159689.75	1451504500.84375	1453086690.28125	1651980470.625	1604423830.46875	1943417700.01172	1057699929.90625	1574112028.8125	1421465685.1875	1687163873.0
P13233	2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Rattus norvegicus OX=10116 GN=Cnp PE=1 SV=2	2258794328.89063	1569319769.94922	1530919678.26953	2755797670.0	3122227173.35938	930235366.515625	5238974693.6875	1447546090.5625	3416162789.9375	3985351169.4375	3238143968.42188	1748233638.5625	3838108112.40625	3239128458.8125	4475653619.66602	4495046997.00781	5640071065.60938	3606647209.57813	3598687454.60547	2836552998.26563	6128903204.11719	5816646256.28125	5519378953.71875	3860193404.79688	2901624466.125	6400724241.09375	2930027514.1875	4283868329.34375	3385535538.90625	5264207501.875
P23565	Alpha-internexin OS=Rattus norvegicus OX=10116 GN=Ina PE=1 SV=2	1861295693.12109	1170252373.47656	1624801315.75781	1775457990.69727	1998625606.44531	995462173.851563	2185750831.9375	1092781234.80859	2001663696.46484	2471128505.04688	2264297106.44531	1648448713.875	2488907724.13281	2111319945.56641	2801326417.65625	2938336227.17969	3293574934.59766	2349355975.78125	1714395128.29688	2230521892.69531	2979116259.625	3246554098.15625	2427322033.41016	2310672330.48438	2056957724.97656	3235837879.9375	2211581895.44922	2250460796.1875	2356033910.6875	3208261650.76563
P06686	Sodium/potassium-transporting ATPase subunit alpha-2 OS=Rattus norvegicus OX=10116 GN=Atp1a2 PE=1 SV=1	2113799505.03906	1627559028.37891	1565154367.96094	1944213416.2002	2188444365.1875	1815327975.11328	4489724113.75781	2052428688.79688	2997157393.08984	2530268516.5	2262358993.10156	2229230199.70703	2420859921.63281	2767948078.58594	2781742979.6875	2850690529.5625	3035604149.32813	2526308800.76563	2862011201.52734	2318598609.08594	3764900178.01563	2778248303.96875	2650437232.5	3614630126.36719	3279900009.51563	3470437884.30469	2510374456.89063	3018979867.80469	2704193416.60156	3128428278.0
P47942	Dihydropyrimidinase-related protein 2 OS=Rattus norvegicus OX=10116 GN=Dpysl2 PE=1 SV=1	1116284187.57031	1115592355.33984	961999224.740234	1632599536.34375	2300004796.35352	1147385896.84375	2373208190.45313	1268043969.47168	2792890658.4375	2035810201.60938	1495582345.57031	1314966277.86719	2127988462.35938	2522797607.8125	1643702676.97656	2361032538.78906	2808559890.59375	2215871098.41016	2415035136.15625	2522236363.125	2700706569.80469	2913170374.24219	2043170822.10938	1575897594.8125	2536748831.3125	3218003853.70313	1435039233.4375	2817160144.25	1679283688.73145	2559070718.32031
P69897	Tubulin beta-5 chain OS=Rattus norvegicus OX=10116 GN=Tubb5 PE=1 SV=1	866143335.515625	402891802.25	584602862.625	741522575.5	1192347965.46875	415125137.0	683087377.625	432956210.625	1176914524.5	1094139256.82813	598756753.3125	725190054.46875	1185573393.5	1296626129.75	618909178.75	1195871591.125	1328546585.25	1366194219.5	820885051.0	647103918.0	1097182875.75	1168725391.5	980746832.75	622878410.75	1111196976.125	1649100388.375	775892253.75	965823690.25	812519296.25	1697154673.75
P06685	Sodium/potassium-transporting ATPase subunit alpha-1 OS=Rattus norvegicus OX=10116 GN=Atp1a1 PE=1 SV=1	518591225.117188	683592895.5	498779558.265625	934712101.375	1126223023.52734	687518609.25	667342295.375	729029986.0	1292898211.375	953289429.375	585487425.953125	872891862.25	1002104418.70313	861710173.140625	873292317.4375	1175388110.625	1215492599.79688	1107647739.57031	925839958.5625	966080826.867188	1113376894.39063	1261460982.0	821296401.40625	848934973.125	1302081930.0625	1595819295.0	974504019.75	1269167794.15625	870070919.5625	1224223179.55469
Q3KRE8	Tubulin beta-2B chain OS=Rattus norvegicus OX=10116 GN=Tubb2b PE=1 SV=1	101913081.0	43324428.0	59451956.0	50064819.2734375	49880773.25	53811824.0	74656851.7421875	60316532.0	87859903.0	78758851.90625	138560032.0	79475240.0	62013384.0	82140267.4375	75644072.0	96535874.0	103672415.0	82540599.125	64028261.90625	68775804.75	89169605.96875	82579025.0	81677600.5625	67533646.0	74291809.046875	71891088.0	92168504.0	81801239.6328125	74010296.0	106388310.84375
P07323	Gamma-enolase OS=Rattus norvegicus OX=10116 GN=Eno2 PE=1 SV=2	1440680468.04688	1251789195.4375	1212512598.16797	1580152814.96875	1845617428.8125	1406751396.71094	1969600214.4375	1537189373.25	2462853481.56641	2087597513.875	1532579968.84375	1684688552.02539	2154106896.75	2533198029.5	1878703654.6875	2422899127.0	2546311473.85938	2146235042.375	2160079481.39063	2914092653.125	2299486798.24219	2381045834.0	1839490346.875	2117283930.60156	2461933586.34766	2866339827.375	1799346871.0	2279754390.5	1899508773.82813	2333438519.625
P85108	Tubulin beta-2A chain OS=Rattus norvegicus OX=10116 GN=Tubb2a PE=1 SV=1	2697768782.53516	1243159935.61719	1826159787.82031	2382102031.70313	3926994902.1875	1678504129.09375	3074658782.02148	1639128465.20703	4183450673.88281	4357231785.74219	2940233171.88672	2459459305.03125	3649168108.75	4602062826.71094	2901247777.875	4300619308.82813	4526055483.85156	4000049293.5	3227119999.4375	2466097431.05859	3919087606.68359	3862461521.39063	3319527544.64844	2543331751.40625	3379527705.625	4880299995.55859	2361049656.46875	3345508756.875	2531089907.1875	5475815401.25
