sample_id,group
AC1R1.raw,CTRL
AC1R2.raw,CTRL
AC1R3.raw,CTRL
AC2R1.raw,CTRL
AC2R2.raw,CTRL
AC2R3.raw,CTRL
AHFD1R1.raw,HFD
AHFD1R2.raw,HFD
AHFD1R3.raw,HFD
AHFD2R1.raw,HFD
AHFD2R2.raw,HFD
AHFD2R3.raw,HFD
AHFD3IPR1.raw,HFD_IP
AHFD3IPR2.raw,HFD_IP
AHFD3IPR3.raw,HFD_IP
AHFD4IPR1.raw,HFD_IP
AHFD4IPR2.raw,HFD_IP
AHFD4IPR3.raw,HFD_IP
AHFD5PioR1.raw,HFD_Pio
AHFD5PioR2.raw,HFD_Pio
AHFD5PioR3.raw,HFD_Pio
AHFD6PioR1.raw,HFD_Pio
AHFD6PioR2.raw,HFD_Pio
AHFD6PioR3.raw,HFD_Pio
AHFD7CrR1.raw,HFD_Cr
AHFD7CrR2.raw,HFD_Cr
AHFD7CrR3.raw,HFD_Cr
AHFD8CrR1.raw,HFD_Cr
AHFD8CrR2.raw,HFD_Cr
AHFD8CrR3.raw,HFD_Cr
