Protein,log2FC,AveExpr,t,p_value,adj_p_value,B,Description,significant_FDR05,significant_FC1
P16086,-0.148876190496768,31.9264889011494,-0.931139251321277,0.359984641417801,0.983565161558275,-5.48560586824661,"Spectrin alpha chain, non-erythrocytic 1 OS=Rattus norvegicus OX=10116 GN=Sptan1 PE=1 SV=2",False,False
P11442,0.109846321048021,31.3110504883928,1.13505454858049,0.266270114165149,0.983565161558275,-5.29170668843011,Clathrin heavy chain 1 OS=Rattus norvegicus OX=10116 GN=Cltc PE=1 SV=3,False,False
P06687,-0.145048050723251,30.3119437682968,-0.908404531969877,0.371654689126636,0.983565161558275,-5.50502352802973,Sodium/potassium-transporting ATPase subunit alpha-3 OS=Rattus norvegicus OX=10116 GN=Atp1a3 PE=1 SV=2,False,False
P13233,0.208310557487462,31.6174595434348,0.897975332396631,0.377090173595566,0.983565161558275,-5.51378069629703,"2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Rattus norvegicus OX=10116 GN=Cnp PE=1 SV=2",False,False
P23565,0.151740615643014,30.9960247342453,1.1102344629475,0.276630686218289,0.983565161558275,-5.31717517801366,Alpha-internexin OS=Rattus norvegicus OX=10116 GN=Ina PE=1 SV=2,False,False
P06686,-0.0898134246923732,31.2694933582213,-0.709843582211448,0.483851225728629,0.983565161558275,-5.65526205653466,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Rattus norvegicus OX=10116 GN=Atp1a2 PE=1 SV=1,False,False
P47942,0.0795299571908004,30.8539264259362,0.356484332379611,0.724232312258704,0.983565161558275,-5.83384852701726,Dihydropyrimidinase-related protein 2 OS=Rattus norvegicus OX=10116 GN=Dpysl2 PE=1 SV=1,False,False
P69897,0.310641470528253,29.7088930947877,1.30523678302694,0.202761699756894,0.983565161558275,-5.10358932410239,Tubulin beta-5 chain OS=Rattus norvegicus OX=10116 GN=Tubb5 PE=1 SV=1,False,False
P06685,0.251525541979181,29.7910880529895,1.41023809988243,0.169819279093805,0.983565161558275,-4.97611595335052,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Rattus norvegicus OX=10116 GN=Atp1a1 PE=1 SV=1,False,False
Q3KRE8,-0.284655747075238,26.1430012122997,-1.63068394180704,0.114500367559647,0.983565161558275,-4.68164424676095,Tubulin beta-2B chain OS=Rattus norvegicus OX=10116 GN=Tubb2b PE=1 SV=1,False,False
