Protein,log2FC,AveExpr,t,p_value,adj_p_value,B,Description,significant_FDR05,significant_FC1
P16086,-0.340661908313852,31.9264889011494,-2.1306541576769,0.0423203895139735,0.383188368522296,-4.17861252208192,"Spectrin alpha chain, non-erythrocytic 1 OS=Rattus norvegicus OX=10116 GN=Sptan1 PE=1 SV=2",False,False
P11442,-0.0049521279952315,31.3110504883928,-0.0511709026985355,0.959563813423884,0.985272368280357,-6.27167422527883,Clathrin heavy chain 1 OS=Rattus norvegicus OX=10116 GN=Cltc PE=1 SV=3,False,False
P06687,0.0714593444525349,30.3119437682968,0.447534400004686,0.658038238203005,0.879821496264018,-6.17315621585604,Sodium/potassium-transporting ATPase subunit alpha-3 OS=Rattus norvegicus OX=10116 GN=Atp1a3 PE=1 SV=2,False,False
P13233,0.514385703881871,31.6174595434348,2.21738964647147,0.0351502595482204,0.362549819911645,-4.01887009087943,"2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Rattus norvegicus OX=10116 GN=Cnp PE=1 SV=2",False,False
P23565,0.27415781471186,30.9960247342453,2.00591946256213,0.054918758759481,0.408485427466588,-4.40039874415159,Alpha-internexin OS=Rattus norvegicus OX=10116 GN=Ina PE=1 SV=2,False,False
P06686,0.0505870717919699,31.2694933582213,0.399816713118266,0.692418459944917,0.892859659958677,-6.19324827597433,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Rattus norvegicus OX=10116 GN=Atp1a2 PE=1 SV=1,False,False
P47942,0.269966355930414,30.8539264259362,1.21009465562673,0.236669000174139,0.622634938422747,-5.56007578103532,Dihydropyrimidinase-related protein 2 OS=Rattus norvegicus OX=10116 GN=Dpysl2 PE=1 SV=1,False,False
P69897,0.139371793672929,29.7088930947877,0.585604978334026,0.562975600553328,0.824482673388058,-6.10251795187743,Tubulin beta-5 chain OS=Rattus norvegicus OX=10116 GN=Tubb5 PE=1 SV=1,False,False
P06685,0.168722660443631,29.7910880529895,0.945983943415298,0.352497161707179,0.704375966075082,-5.83272031236204,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Rattus norvegicus OX=10116 GN=Atp1a1 PE=1 SV=1,False,False
Q3KRE8,-0.234390660439935,26.1430012122997,-1.34273447845732,0.19047256371271,0.598579113496966,-5.40060659815052,Tubulin beta-2B chain OS=Rattus norvegicus OX=10116 GN=Tubb2b PE=1 SV=1,False,False
P07323,0.193392312139579,30.8796255039406,1.29818745310323,0.205138682976149,0.606409037896629,-5.45579224927793,Gamma-enolase OS=Rattus norvegicus OX=10116 GN=Eno2 PE=1 SV=2,False,False
P85108,-0.0032065297591898,31.5104689356744,-0.0146241813108175,0.988438901705636,0.992103179376463,-6.27287723794068,Tubulin beta-2A chain OS=Rattus norvegicus OX=10116 GN=Tubb2a PE=1 SV=1,False,False
Q5XIF6,0.142197863883336,30.8599324591681,0.584536635663262,0.563683656967585,0.824482673388058,-6.10313535771204,Tubulin alpha-4A chain OS=Rattus norvegicus OX=10116 GN=Tuba4a PE=1 SV=1,False,False
Q6P9T8,0.464058905863638,27.2273164399324,1.11998030838589,0.272528392251374,0.652982851345659,-5.65994950405666,Tubulin beta-4B chain OS=Rattus norvegicus OX=10116 GN=Tubb4b PE=1 SV=1,False,False
Q6AYZ1,-0.0353629123843007,32.9301564422665,-0.146853209610096,0.884332497753461,0.964490867058859,-6.26219874036819,Tubulin alpha-1C chain OS=Rattus norvegicus OX=10116 GN=Tuba1c PE=1 SV=1,False,False
P10719,0.154900042735157,30.3577807441739,0.886674923097105,0.383037843284612,0.723252277454732,-5.88541296594374,"ATP synthase subunit beta, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5f1b PE=1 SV=2",False,False
Q68FR8,-0.184054840622402,29.567121322928,-0.99826953449126,0.326959683324991,0.69201029637035,-5.78363000374542,Tubulin alpha-3 chain OS=Rattus norvegicus OX=10116 GN=Tuba3a PE=2 SV=1,False,False
P38650,-0.0973071916280368,31.5212914423729,-1.04033429761684,0.307357187586248,0.677653367898071,-5.74236191841252,Cytoplasmic dynein 1 heavy chain 1 OS=Rattus norvegicus OX=10116 GN=Dync1h1 PE=1 SV=1,False,False
P15999,0.0523370675559605,31.1689645744479,0.306838793507116,0.761306179349671,0.911043748326733,-6.22596296185192,"ATP synthase subunit alpha, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5f1a PE=1 SV=2",False,False
P63018,0.19744396570028,30.6332037833983,1.53156345007597,0.137195785652373,0.546066893332721,-5.14898500823928,Heat shock cognate 71 kDa protein OS=Rattus norvegicus OX=10116 GN=Hspa8 PE=1 SV=1,False,False
Q9ER34,-0.0066097921448609,30.4581727725876,-0.0681680426257984,0.946151228684747,0.985245766664636,-6.27065949714574,"Aconitate hydratase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Aco2 PE=1 SV=2",False,False
Q4QRB4,0.294278305761683,28.0714591931535,1.01211925340672,0.320412914030468,0.68714294236633,-5.77021638341551,Tubulin beta-3 chain OS=Rattus norvegicus OX=10116 GN=Tubb3 PE=1 SV=1,False,False
P21575,-0.0281946652332188,30.2521201010578,-0.228401912400176,0.821044680208601,0.944018787953914,-6.24690950196146,Dynamin-1 OS=Rattus norvegicus OX=10116 GN=Dnm1 PE=1 SV=2,False,False
P07335,0.209628140820005,31.1867282067421,1.11512849292829,0.274565129720943,0.653620831968845,-5.66512836562676,Creatine kinase B-type OS=Rattus norvegicus OX=10116 GN=Ckb PE=1 SV=2,False,False
P04764,0.419664747378405,29.5823459565751,2.27084248890411,0.031295922298157,0.344393472643708,-3.91826498650102,Alpha-enolase OS=Rattus norvegicus OX=10116 GN=Eno1 PE=1 SV=4,False,False
P11980,-0.0158585928163468,31.0921682536578,-0.127565765136622,0.899432405209857,0.966354459168923,-6.26484497062122,Pyruvate kinase PKM OS=Rattus norvegicus OX=10116 GN=Pkm PE=1 SV=3,False,False
P12839,0.192660312978667,29.9918522488048,1.37378310858253,0.180741892965956,0.597021863931554,-5.36118487699084,Neurofilament medium polypeptide OS=Rattus norvegicus OX=10116 GN=Nefm PE=1 SV=4,False,False
P02770,-0.487427988861498,28.5791563160812,-1.94937354098789,0.0616460933703781,0.412115550124194,-4.49772313662302,Albumin OS=Rattus norvegicus OX=10116 GN=Alb PE=1 SV=2,False,False
P63102,0.169494445661467,30.8445137258287,0.711467600693562,0.482860679101394,0.769026640392367,-6.02213917635914,14-3-3 protein zeta/delta OS=Rattus norvegicus OX=10116 GN=Ywhaz PE=1 SV=1,False,False
P61765,0.19148321994312,29.8349390510122,0.984129794325914,0.333737581747811,0.693857701217786,-5.79714774163602,Syntaxin-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Stxbp1 PE=1 SV=1,False,False
P04636,0.14013733411462,30.1027079691278,0.857047103331271,0.398917884378277,0.728546490356954,-5.91053265054403,"Malate dehydrogenase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Mdh2 PE=1 SV=2",False,False
P82995,0.0570125320456931,29.6564183035267,0.579079176432498,0.567307705878471,0.824482673388058,-6.10627213710948,Heat shock protein HSP 90-alpha OS=Rattus norvegicus OX=10116 GN=Hsp90aa1 PE=1 SV=3,False,False
P05708,-0.108488160241276,29.9647809650466,-0.849198621265706,0.403193744336552,0.732649035430345,-5.91705176657259,Hexokinase-1 OS=Rattus norvegicus OX=10116 GN=Hk1 PE=1 SV=4,False,False
P13221,0.132709476868161,29.4141069892196,1.04716177765812,0.304254605104451,0.676845499703639,-5.73551568689855,"Aspartate aminotransferase, cytoplasmic OS=Rattus norvegicus OX=10116 GN=Got1 PE=1 SV=3",False,False
P48500,0.327559415980602,29.4777840779317,1.55888529428011,0.130600617963965,0.546066893332721,-5.11027187347465,Triosephosphate isomerase OS=Rattus norvegicus OX=10116 GN=Tpi1 PE=1 SV=2,False,False
Q6AY56,0.252677162863517,24.6835676732702,0.358576928057236,0.722683792117813,0.897280901722637,-6.208810892607,Tubulin alpha-8 chain OS=Rattus norvegicus OX=10116 GN=Tuba8 PE=2 SV=1,False,False
Q9QUL6,-0.0125599777825229,32.1453741346152,-0.0793540697006728,0.937332777647214,0.985245766664636,-6.26983404060345,Vesicle-fusing ATPase OS=Rattus norvegicus OX=10116 GN=Nsf PE=1 SV=1,False,False
P34058,0.247476911980421,28.3076094647371,1.40591495873657,0.171086637287479,0.584501035275519,-5.31956818315878,Heat shock protein HSP 90-beta OS=Rattus norvegicus OX=10116 GN=Hsp90ab1 PE=1 SV=4,False,False
