"Protein","EntrezID","Symbol"
"P16086","64159","Sptan1"
"P11442","54241","Cltc"
"P06687","24213","Atp1a3"
"P13233","25275","Cnp"
"P23565",NA,"Ina"
"P06686","24212","Atp1a2"
"P47942","25416","Dpysl2"
"P69897","29214","Tubb5"
"P06685","24211","Atp1a1"
"Q3KRE8","291081","Tubb2b"
"P07323","24334","Eno2"
"P85108","498736","Tubb2a"
"Q5XIF6","316531","Tuba4a"
"Q6P9T8","296554","Tubb4b"
"Q6AYZ1","300218","Tuba1c"
"P10719","171374","Atp5f1b"
"Q68FR8","500319","Tuba3a"
"P38650","29489","Dync1h1"
"P15999","65262","Atp5f1a"
"P63018","24468","Hspa8"
"Q9ER34","79250","Aco2"
"Q4QRB4","246118","Tubb3"
"P21575","140694","Dnm1"
"P07335","24264","Ckb"
"P04764","24333","Eno1"
"P11980","25630","Pkm"
"P12839","24588","Nefm"
"P02770","24186","Alb"
"P63102","25578","Ywhaz"
"P61765","25558","Stxbp1"
"P04636","81829","Mdh2"
"P82995","299331","Hsp90aa1"
"P05708","25058","Hk1"
"P13221","24401","Got1"
"P48500","24849","Tpi1"
"Q6AY56","500377","Tuba8"
"Q9QUL6","60355","Nsf"
"P34058","301252","Hsp90ab1"
"P62944","140670","Ap2b1"
"P50398","25183","Gdi1"
"P63039","63868","Hspd1"
"Q9QWN8",NA,"Sptbn2"
"P34926","25152","Map1a"
"P45592","29271","Cfl1"
"P63259","287876","Actg1"
"P13596","24586","Ncam1"
"P31044","29542","Pebp1"
"P15146","25595","Map2"
"P16617","24644","Pgk1"
"P09951","24949","Syn1"
"Q05546","25567","Tnr"
"F1LX07",NA,"Slc25a12"
"P31596","29482","Slc1a2"
"Q68FY0","301011","Uqcrc1"
"P15205","29456","Map1b"
"Q66HF1","301458","Ndufs1"
"P47819","24387","Gfap"
"P18484",NA,"Ap2a2"
"P19527","83613","Nefl"
"P62815","117596","Atp6v1b2"
"P02091","24440","Hbb"
"Q9Z1P2","81634","Actn1"
"P53534","25739","Pygb"
"P35213","56011","Ywhab"
"P01946","25632","Hba-a1"
"P05065","24189","Aldoa"
"Q9Z2L0","83529","Vdac1"
"P09117","24191","Aldoc"
"P50554","81632","Abat"
"P46462","116643","Vcp"
"P00507","25721","Got2"
"P68255","25577","Ywhaq"
"Q05962","85333","Slc25a4"
"P11275","25400","Camk2a"
"P50399","29662","Gdi2"
"Q63198","117258","Cntn1"
"P68511","25576","Ywhah"
"P11506","24215","Atp2b2"
"P06761","25617","Hspa5"
"P11517","689064","Hbb-bs"
"P04797","24383","Gapdh"
"P85845","683788","Fscn1"
"P04642","24533","Ldha"
"Q5RJQ4",NA,"Sirt2"
"P54311","24400","Gnb1"
"P16884",NA,"Nefh"
"O88989","24551","Mdh1"
"P59215","50664","Gnao1"
"P15429","25438","Eno3"
"O08838","60668","Amph"
"P61983","56010","Ywhag"
"P09606","24957","Glul"
"P14659","60460","Hspa2"
"P11505","29598","Atp2b1"
"Q09073","25176","Slc25a5"
"O35095","89791","Ncdn"
"P10860","24399","Glud1"
"P47860","60416","Pfkp"
"P05197","29565","Eef2"
"Q5U300","314432","Uba1"
"P62260","29753","Ywhae"
"P08461","81654","Dlat"
"Q5XI73","360678","Arhgdia"
"P42123","24534","Ldhb"
"Q9Z0W5","29704","Pacsin1"
"P25113","24642","Pgam1"
"P02688","24547","Mbp"
"Q5FVI6","299971","Atp6v1c1"
"P07722","29409","Mag"
"Q6P6V0","292804","Gpi"
"P25809",NA,"Ckmt1"
"P0DP31","24242","Calm1"
"Q8VHF5","170587","Cs"
"Q63345",NA,"Mog"
"P10111","25518","Ppia"
"Q9R063","113898","Prdx5"
"Q9QXQ0","63836","Actn4"
"P97536","117152","Cand1"
"P61265","24923","Stx1b"
"P12346","24825","Tf"
"P68136","29437","Acta1"
"P50137","64524","Tkt"
"P68035","29275","Actc1"
"Q5XI78","360975","Ogdh"
"Q62950","25415","Crmp1"
"P32551","293448","Uqcrc2"
"O35303","114114","Dnm1l"
"Q9WVC0","64551","Septin7"
"P62630","171361","Eef1a1"
"Q05175","64160","Basp1"
"P97685","116690","Nfasc"
"P25286","29757","Atp6v0a1"
"P62632","24799","Eef1a2"
"P60203","24943","Plp1"
"O88600","266759","Hspa4"
"Q6P6R2","298942","Dld"
"P63012","25531","Rab3a"
"Q63537","29179","Syn2"
"D3ZQL7","361466","Tppp"
"P54313","81667","Gnb2"
"Q64542","29600","Atp2b4"
"P11507","29693","Atp2a2"
"P11730","171140","Camk2g"
"P62762",NA,"Vsnl1"
"P62142","25594","Ppp1cb"
"P04897","81664","Gnai2"
"P07340","25650","Atp1b1"
"P08009","81869","Gstm7"
"Q00981","29545","Uchl1"
"Q64541","29132","Atp1a4"
"Q08163","64185","Cap1"
"P62138","24668","Ppp1ca"
"P07171","83839","Calb1"
"Q4QQT4","315648","Ppp2r1b"
"P67779","25344","Phb1"
"P35704","29338","Prdx2"
"P63088","24669","Ppp1cc"
"P21707","25716","Syt1"
"P48037",NA,"Anxa6"
"Q66HA8","288444","Hsph1"
"P08413","24245","Camk2b"
"P84079","64310","Arf1"
"P52303",NA,"Ap1b1"
"P62738","81633","Acta2"
"P24942","29483","Slc1a3"
"P97700","64201","Slc25a11"
"P63045","24803","Vamp2"
"P10824","25686","Gnai1"
"Q8CFN2","64465","Cdc42"
"P13264","24398","Gls"
"Q920L2","157074","Sdha"
"Q8VBU2","171114","Ndrg2"
"P15791","24246","Camk2d"
"P63329","24674","Ppp3ca"
"P01830","24832","Thy1"
"Q05140","65178","Snap91"
"P37377","29219","Snca"
"P55063","24963","Hspa1l"
"P63100","29748","Ppp3r1"
"P61589","117273","Rhoa"
"P62747","64373","Rhob"
"P49432","289950","Pdhb"
"O88767","117287","Park7"
"P61980","117282","Hnrnpk"
"Q5U318","364052","Pea15"
"O35814","192277","Stip1"
"P09812",NA,"Pygm"
"P47858","65152","Pfkm"
"Q9WTT6",NA,"Gda"
"Q63941","81755","Rab3b"
"P48721",NA,"Hspa9"
"P63319","24681","Prkcg"
"Q63942","140665","Rab3d"
"P84083","79117","Arf5"
"P07825","24804","Syp"
"O08839","117028","Bin1"
"P16036",NA,"Slc25a3"
"P27139","54231","Car2"
"P37805","63837","Tagln3"
"Q9JLT0","79433","Myh10"
"P48768","140447","Slc8a2"
"P84082","79119","Arf2"
"Q99NA5","114096","Idh3a"
"P10687","24654","Plcb1"
