,AC1R1.raw,AC1R2.raw,AC1R3.raw,AC2R1.raw,AC2R2.raw,AC2R3.raw,AHFD1R1.raw,AHFD1R2.raw,AHFD1R3.raw,AHFD2R1.raw,AHFD2R2.raw,AHFD2R3.raw,AHFD3IPR1.raw,AHFD3IPR2.raw,AHFD3IPR3.raw,AHFD4IPR1.raw,AHFD4IPR2.raw,AHFD4IPR3.raw,AHFD5PioR1.raw,AHFD5PioR2.raw,AHFD5PioR3.raw,AHFD6PioR1.raw,AHFD6PioR2.raw,AHFD6PioR3.raw,AHFD7CrR1.raw,AHFD7CrR2.raw,AHFD7CrR3.raw,AHFD8CrR1.raw,AHFD8CrR2.raw,AHFD8CrR3.raw
P16086,32.8709108561493,32.2072766519835,32.8526326265335,32.2357704919154,32.0663037598762,32.4082969523724,31.586678808064,32.2613208599068,31.963382259557,31.5588980543068,32.2858247273045,32.3567250195143,31.7259988153179,31.9985281102547,31.4054880181808,31.6529780392707,31.5450085323878,31.7242135871418,31.7457616901614,32.035177762902,31.57706491031,31.670271237916,31.4459478447488,31.4946348327321,31.8261035485368,31.7698388763514,32.4464511597469,31.7733407276811,31.6116108369412,31.6922274364154
P11442,31.3617112494885,31.1940506630717,31.4286780946782,31.3678312392188,31.6830994181552,31.2641377443366,31.1482006305437,31.2589637382948,31.5643652571196,31.3046928765044,31.0185554680946,31.2667037530555,31.3827256327171,31.4522080539832,31.2315498898009,31.268452600481,31.1039966153029,31.2792631213943,31.4971874645352,31.2895350902879,31.2163517945996,31.3808645857265,31.0607772995639,31.0870527209281,31.4787189419293,31.4790042554252,31.22627668321,31.3664079042916,31.2623798055183,31.4077720595263
P06687,29.9812518039391,29.8199356864569,29.807168532779,29.9194062362567,30.2662648746538,29.9093350772121,31.2062297439899,30.133234958876,30.5965836966683,30.5811514973018,30.1302232930459,30.0149128389123,30.29547158288,30.6089092373777,30.5053438384725,30.4287210265764,30.2422622453573,30.0287670581842,30.6454203881277,30.308961709782,30.8787061943889,30.2929122350104,30.4964237040151,30.4686678641853,30.5519645956937,30.4454921655908,29.7814806866882,30.3560584165995,30.298845391516,30.3582064683665
P13233,31.1353896732673,30.9363276161449,30.8048228859987,31.5785628468017,31.8425168516368,30.3064719260514,32.1947049764188,30.8694202513398,31.6901987355388,31.8830535161838,31.3688888908996,30.8674378181317,31.9288252256092,31.6382549532026,31.890149271899,31.8511216620683,32.0028256373506,31.6512276192603,31.8641138791786,31.7187955608361,32.2217151995396,32.2583995876916,32.270458616181,31.6265355683768,31.4579495869768,32.16197998259,31.1894893068969,31.8016932810518,31.514728165838,31.9977272100838
P23565,30.8519943651721,30.5185035220446,30.8872368082543,30.9167181953205,31.1506833724651,30.3386234609612,30.9685136448974,30.4259356957624,30.8802723040539,31.2254481935206,30.9255429240692,30.7608904386168,31.3025198309965,30.9849471074314,31.2610208957024,31.2561895883302,31.2639693211449,31.0331353746454,30.7811512472867,31.3231459526735,31.2170162543861,31.4353863079166,31.1573085909587,30.9175417359699,30.9382819280372,31.1803220256841,30.811656868742,30.873162616913,31.0087899377312,31.2848335176709
P06686,31.0371706117767,30.9926014325222,30.8351050203675,31.0596695894448,31.3025109558321,31.2340793454575,31.9917359335677,31.3524280866323,31.4791935523052,31.2454414703762,30.8926779371477,31.2061725654541,31.2626032873117,31.3910347753464,31.2307012424952,31.2042706105874,31.1299932097512,31.1374701467005,31.5263533891198,31.4006507906088,31.5388905041767,31.2026928214756,31.2529226329466,31.5496618379075,31.6212121283244,31.280116636994,30.9826218583214,31.2969809909116,31.2003191822928,31.2475182004847
P47942,30.1138981293237,30.4503242297496,30.1303938270213,30.78949440408,31.3422593992579,30.5286870331765,31.0952219112283,30.6312839829142,31.3523169541651,30.9531887145361,30.3439580237913,30.4295667281439,31.0765954430808,31.23373401296,30.5023192320941,30.9449215487662,31.0425898033906,30.9489888921202,31.272280728738,31.4887851555763,31.0838482364284,31.2831427535855,30.9249404011241,30.3723371749091,31.2356176746752,31.1728819025631,30.1939422643205,31.1970695435969,30.5240482062814,30.9591564664866
P69897,29.754585681369,29.00372970066,29.4270561515497,29.600888777295,30.3019060151947,28.9462342717632,29.3680857898711,29.0176364942692,30.0258761013625,30.1046441886529,29.1730897232191,29.5350333116044,30.220953513432,30.1958727397858,29.1799921434181,29.9900332968894,30.0292965750729,30.243067565056,29.6814510676807,29.4380299235801,29.8510730011113,29.9920023270374,30.0016012360499,29.0964388155574,29.9901810173475,30.2044109877179,29.370985778889,29.6514893964429,29.5104023118919,30.3607449398595
P06685,29.0143422428098,29.7644575112255,29.1971874487016,29.9379675154837,30.2240461910224,29.6813937415996,29.3294695874203,29.7721168819153,30.1675450044141,29.9031243258025,29.1322063978984,29.8043465183291,29.9800462691528,29.6115645461943,29.6717001451373,29.9641516729663,29.8963662079072,29.9415027356093,29.8573590032934,30.0189188311669,29.8687463285604,30.1009261700964,29.7362207101274,29.538973635197,30.22259640565,30.1572424380187,29.6961710495922,30.044854540567,29.6070486311876,29.8900489026393
Q3KRE8,26.7572677828838,25.7494620023341,26.1635534870958,25.7067665678407,25.7128333070552,25.8895650286218,26.1812282959993,26.0291085250649,26.2072265614772,26.2792201750914,27.1403503885435,26.2648665055435,25.9641902017523,26.0981034810598,26.1214978831581,26.3150535342355,26.43954661792,26.1804735649663,25.8980236914051,26.0906408670345,26.201252641391,26.1816507088541,26.4774235194176,25.8466650609779,25.9521941729453,25.6659119634175,26.284916965822,26.0985017901734,26.0374443842055,26.3550966927047
P07323,30.4820113091045,30.6163530179088,30.4643921178781,30.7435107517122,31.0267431968781,30.8253890183025,30.8248320384909,30.9106612148268,31.1724326899112,30.9881134408194,30.3761482105206,30.7879737240196,31.0941783486678,31.241146284002,30.6932106080057,30.9814583129441,30.8996419672793,30.9028832693764,31.1119141053226,31.699262242628,30.8503003178686,30.9914148826778,30.770505463575,30.797118179354,31.1933695656239,31.0058378622778,30.5191741514214,30.8917347127546,30.7011439129033,30.8259102011631
P85108,31.3908472171011,30.6015682642409,31.0589340701357,31.3634574040176,32.1647739232404,31.1465256876354,31.4319587536191,31.0424938218828,31.9754632147146,32.0172015024794,31.2425650575716,31.3562979927208,31.8553835013315,32.1384664504559,31.2731036010868,31.7904151188309,31.6918189249639,31.8004252669201,31.7046277343532,31.5084284852789,31.5828602163602,31.6709280634691,31.5496402200487,31.0302564449231,31.673532738159,31.7710295694706,30.8832041426284,31.4450333432019,31.0981941203871,32.0546332190042
